order_id,path,last_click,converted,revenue
100000.0,Search,Search,True,197.99844092765034
100001.0,Search > Display,Display,True,120.68324094449387
100002.0,Search > Social > Display,Display,True,124.34136859379898
100003.0,Email > Display,Display,True,111.52774503105658
100004.0,Display > Search,Search,True,143.5063384694266
100005.0,Display,Display,True,480.00826296326005
100006.0,Search > Email,Email,True,114.22085017844705
100007.0,Search > Display,Display,True,315.29233551987915
100008.0,Social > Affiliate,Affiliate,True,143.49090202659468
100009.0,Affiliate > Search,Search,True,155.49156024495056
100010.0,Search,Search,True,103.25346304388626
100011.0,Affiliate > Social,Social,True,183.07112045296986
100012.0,Social,Social,True,80.86235401011275
100013.0,Social > Display,Display,True,98.4992194321034
100014.0,Display,Display,True,195.9064113956965
100015.0,Search > Social > Social > Social,Social,True,228.1237728687351
100016.0,Search,Search,True,159.8259396582978
100017.0,Display,Display,True,117.44357345106418
100018.0,Search,Search,True,480.2348382014214
100019.0,Social > Search > Display,Display,True,309.7442222702135
100020.0,Search > Social,Social,True,165.35043992854187
100021.0,Search,Search,True,260.2814899171406
100022.0,Social,Social,True,128.9796266466371
100023.0,Display > Social > Display > Search,Search,True,195.90847508401703
100024.0,Social > Display,Display,True,131.89044375501132
100025.0,Search > Email > Affiliate > Search,Search,True,271.6166796646972
100026.0,Search > Social,Social,True,592.9393237962117
100027.0,Display > Social > Display > Affiliate,Affiliate,True,230.27752164762
100028.0,Affiliate,Affiliate,True,133.79110846259852
100029.0,Display,Display,True,151.20186599722027
100030.0,Search,Search,True,264.629442430341
100031.0,Search,Search,True,199.04105864844288
100032.0,Search,Search,True,219.56090079104072
100033.0,Search > Display,Display,True,218.80755301922835
100034.0,Display > Social,Social,True,223.6193755271143
100035.0,Affiliate,Affiliate,True,332.22139208056444
100036.0,Social > Search,Search,True,297.7688396847652
100037.0,Search,Search,True,433.0677366587846
100038.0,Display > Social,Social,True,247.8766178129443
100039.0,Social,Social,True,108.47786800050372
100040.0,Search,Search,True,146.21227261800811
100041.0,Search,Search,True,103.04740062492516
100042.0,Social > Search,Search,True,165.8367598090947
100043.0,Search > Search,Search,True,197.37392922299603
100044.0,Social > Email,Email,True,231.85971057310465
100045.0,Search,Search,True,186.9760584684715
100046.0,Search,Search,True,467.1511637369444
100047.0,Affiliate,Affiliate,True,237.07550599757226
100048.0,Search > Search > Search,Search,True,86.75410929887022
100049.0,Affiliate,Affiliate,True,191.29564639707868
100050.0,Affiliate > Search,Search,True,281.4675026387511
100051.0,Search,Search,True,70.27800497962247
100052.0,Display > Social,Social,True,55.234957688409594
100053.0,Search,Search,True,156.71877538979032
100054.0,Search,Search,True,190.50440879855668
100055.0,Search > Search,Search,True,227.77069917598445
100056.0,Search,Search,True,226.6234057527776
100057.0,Social > Social,Social,True,142.46658476653792
100058.0,Search > Search > Search,Search,True,227.28885585408958
100059.0,Search > Social > Social,Social,True,154.97564040457172
100060.0,Search > Display > Search > Display,Display,True,391.66940438624647
100061.0,Display > Email > Search,Search,True,82.56315953621859
100062.0,Search > Social,Social,True,67.05282521742059
100063.0,Affiliate > Search,Search,True,297.92201993073036
100064.0,Search > Search,Search,True,335.50750199202736
100065.0,Social > Search,Search,True,107.13251618153402
100066.0,Social > Search,Search,True,576.201926420443
100067.0,Search > Display,Display,True,98.37677493963486
100068.0,Search,Search,True,210.37319805454794
100069.0,Display,Display,True,348.2604596714163
100070.0,Display > Display,Display,True,161.1015135539363
100071.0,Search,Search,True,543.8518928386311
100072.0,Social,Social,True,78.93827571091971
100073.0,Social,Social,True,191.29191576072384
100074.0,Display,Display,True,186.58281831186596
100075.0,Search > Social > Search > Social,Social,True,154.1540336928428
100076.0,Social > Social,Social,True,178.18760599992063
100077.0,Email,Email,True,185.38064576467787
100078.0,Email > Social,Social,True,158.5599903318185
100079.0,Email > Social,Social,True,327.14146183748227
100080.0,Search,Search,True,136.56375226352998
100081.0,Social,Social,True,129.39283017610902
100082.0,Social > Social,Social,True,187.17877710666434
100083.0,Search,Search,True,101.28330282121746
100084.0,Display,Display,True,293.1752931209617
100085.0,Search > Search > Email > Social,Social,True,237.90094755899574
100086.0,Display > Display,Display,True,116.97725601746136
100087.0,Search > Search > Email,Email,True,285.2055080845054
100088.0,Search,Search,True,455.96472228138487
100089.0,Display,Display,True,181.32794968878991
