order_id,order_date,revenue
100000,2024-01-01,197.99844092765034
100001,2024-01-01,120.68324094449387
100002,2024-01-01,124.34136859379898
100003,2024-01-01,111.52774503105658
100004,2024-01-01,143.5063384694266
100005,2024-01-01,480.00826296326005
100006,2024-01-01,114.22085017844705
100007,2024-01-01,315.29233551987915
100008,2024-01-01,143.49090202659468
100009,2024-01-01,155.49156024495056
100010,2024-01-01,103.25346304388626
100011,2024-01-01,183.07112045296986
100012,2024-01-01,80.86235401011275
100013,2024-01-01,98.4992194321034
100014,2024-01-01,195.9064113956965
100015,2024-01-01,228.1237728687351
100016,2024-01-01,159.8259396582978
100017,2024-01-01,117.44357345106418
100018,2024-01-01,480.2348382014214
100019,2024-01-01,309.7442222702135
100020,2024-01-01,165.35043992854187
100021,2024-01-01,260.2814899171406
100022,2024-01-01,128.9796266466371
100023,2024-01-01,195.90847508401703
100024,2024-01-01,131.89044375501132
100025,2024-01-01,271.6166796646972
100026,2024-01-01,592.9393237962117
100027,2024-01-01,230.27752164762
100028,2024-01-01,133.79110846259852
100029,2024-01-01,151.20186599722027
100030,2024-01-01,264.629442430341
100031,2024-01-01,199.04105864844288
100032,2024-01-01,219.56090079104072
100033,2024-01-01,218.80755301922835
100034,2024-01-01,223.6193755271143
100035,2024-01-01,332.22139208056444
100036,2024-01-01,297.7688396847652
100037,2024-01-01,433.0677366587846
100038,2024-01-01,247.8766178129443
100039,2024-01-01,108.47786800050372
100040,2024-01-01,146.21227261800811
100041,2024-01-01,103.04740062492516
100042,2024-01-01,165.8367598090947
100043,2024-01-01,197.37392922299603
100044,2024-01-01,231.85971057310465
100045,2024-01-01,186.9760584684715
100046,2024-01-01,467.1511637369444
100047,2024-01-01,237.07550599757226
100048,2024-01-01,86.75410929887022
100049,2024-01-01,191.29564639707868
100050,2024-01-01,281.4675026387511
100051,2024-01-01,70.27800497962247
100052,2024-01-01,55.234957688409594
100053,2024-01-01,156.71877538979032
100054,2024-01-01,190.50440879855668
100055,2024-01-01,227.77069917598445
100056,2024-01-01,226.6234057527776
100057,2024-01-01,142.46658476653792
100058,2024-01-01,227.28885585408958
100059,2024-01-01,154.97564040457172
100060,2024-01-01,391.66940438624647
100061,2024-01-01,82.56315953621859
100062,2024-01-01,67.05282521742059
100063,2024-01-01,297.92201993073036
100064,2024-01-01,335.50750199202736
100065,2024-01-01,107.13251618153402
100066,2024-01-01,576.201926420443
100067,2024-01-01,98.37677493963486
100068,2024-01-01,210.37319805454794
100069,2024-01-01,348.2604596714163
100070,2024-01-01,161.1015135539363
100071,2024-01-01,543.8518928386311
100072,2024-01-01,78.93827571091971
100073,2024-01-01,191.29191576072384
100074,2024-01-01,186.58281831186596
100075,2024-01-01,154.1540336928428
100076,2024-01-01,178.18760599992063
100077,2024-01-01,185.38064576467787
100078,2024-01-01,158.5599903318185
100079,2024-01-01,327.14146183748227
100080,2024-01-01,136.56375226352998
100081,2024-01-01,129.39283017610902
