label,label_str,path
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\01044.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\01046.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\01053.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\01057.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\01067.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\01074.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\01078.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\01088.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\01092.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\01103.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\01108.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\01116.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00622.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00650.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00654.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00690.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00693.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00712.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00791.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00793.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00801.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00802.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00814.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00842.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00843.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00856.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00858.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00878.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00881.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00882.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00887.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00889.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00894.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00917.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00977.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00978.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00981.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00997.jpg
1,real,C:\Users\user\Downloads\CNN_GAN_HOG\train\real\00999.jpg
