interval,agents_needed,lambda_per_min,net_rate,backlog_idx
2024-04-01 00:00:00,18,0.43333333333333335,0.130567860436543,3.91703581309629
2024-04-01 00:30:00,9,0.23333333333333334,0.04861726355160484,5.375553719644436
2024-04-01 01:00:00,15,0.4,0.06991766147489697,7.473083563891344
2024-04-01 01:30:00,8,0.2,0.05062275278661171,8.991766147489695
2024-04-01 02:00:00,13,0.33333333333333337,0.07392863994491067,11.209625345837017
2024-04-01 02:30:00,12,0.26666666666666666,0.10926746251325092,14.487649221234543
2024-04-01 03:00:00,11,0.26666666666666666,0.07793961841492447,16.82583777368228
2024-04-01 03:30:00,9,0.23333333333333334,0.04861726355160484,18.284355680230426
2024-04-01 04:00:00,8,0.2,0.05062275278661171,19.803038263828775
2024-04-01 04:30:00,7,0.16666666666666666,0.052628242021618615,21.381885524477337
2024-04-01 05:00:00,13,0.33333333333333337,0.07392863994491067,23.599744722824653
2024-04-01 05:30:00,12,0.26666666666666666,0.10926746251325092,26.877768598222183
2024-04-01 06:00:00,13,0.3,0.10726197327824405,30.0956277965695
2024-04-01 06:30:00,17,0.3666666666666667,0.1659066830048832,35.072828286715996
2024-04-01 07:00:00,6,0.13333333333333333,0.05463373125662546,36.71184022441476
2024-04-01 07:30:00,14,0.36666666666666664,0.0719231507099039,38.869534745711874
2024-04-01 08:00:00,12,0.30000000000000004,0.07593412917991754,41.147558621109404
2024-04-01 08:30:00,23,0.5666666666666667,0.15387374759484207,45.76377104895466
2024-04-01 09:00:00,46,1.2999999999999998,0.14108082852301762,49.99619590464519
2024-04-01 09:30:00,46,1.2999999999999998,0.14108082852301762,54.228620760335716
2024-04-01 10:00:00,32,0.8666666666666666,0.1358243444797803,58.30335109472912
2024-04-01 10:30:00,43,1.2,0.14709729622803813,62.716269981570264
2024-04-01 11:00:00,28,0.7666666666666666,0.11051296808647448,66.0316590241645
2024-04-01 11:30:00,37,1.0333333333333332,0.12579689830474594,69.80556597330688
2024-04-01 12:00:00,39,1.0666666666666667,0.1551192531680654,74.45914356834884
2024-04-01 12:30:00,41,1.1666666666666665,0.11777494136471867,77.99239180929038
2024-04-01 13:00:00,35,0.9666666666666666,0.1298078767747597,81.88662811253319
2024-04-01 13:30:00,32,0.8666666666666666,0.1358243444797803,85.9613584469266
2024-04-01 14:00:00,32,0.9333333333333333,0.06915767781311355,88.03608878132
2024-04-01 14:30:00,43,1.2,0.14709729622803813,92.44900766816114
2024-04-01 15:00:00,42,1.2,0.11576945212971168,95.9220912320525
2024-04-01 15:30:00,35,1.0,0.09647454344142625,98.81632753529529
2024-04-01 16:00:00,35,1.0,0.09647454344142625,101.71056383853808
2024-04-01 16:30:00,36,1.0333333333333332,0.09446905420641949,104.54463546473066
2024-04-01 17:00:00,25,0.6666666666666666,0.116529435791495,108.04051853847551
2024-04-01 17:30:00,33,0.9,0.13381885524477333,112.05508419581871
